Designator,Mid X,Mid Y,Rotation,Layer
D1,218.44,-177.8,90.0,top
J1,472.44,-228.53,90.0,top
J2,472.44,-218.48,90.0,top
J3,105.41,-207.01,0.0,top
M1,162.56,-177.8,90.0,top
M2,144.78,-177.8,90.0,top
U1,181.61,-177.8,90.0,top
U2,358.18,-246.38,270.0,top
U3,124.46,-177.8,90.0,top
U4,288.29,-223.02,270.0,top
U5,129.54,-223.52,90.0,top
U6,419.06,-246.38,270.0,top
U7,202.041242,-177.989592,90.0,top
U8,358.18,-198.36,270.0,top
U9,419.06,-198.12,270.0,top
